Tm,Year,#Bat,BatAge,G,PA,AB,R/G,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,ERA,GF,CG,tSho,cSho,SV,IP,H_P,R,ER,HR_P,BB_P,IBB_P,SO_P,HBP_P,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_P,#Fld,RA/G_F,DefEff,GS,CG_F,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,BPF,PPF,#a-tA-S,1Run,Under500,SOS,W-L%
Atlanta Braves,1972,36,27.2,155,38.31612903,34.0516129,4.05,8.793548387,1.2,0.109677419,0.929032258,3.825806452,0.303225806,0.225806452,3.432258065,4.967741935,0.258,0.328,0.382,0.71,95,13,0.84516129,0.225806452,0.35483871,0.24516129,0.283870968,7.470967742,17,28.2,4.71,4.27,0.741935484,0.258064516,4,4,0.174193548,8.883870968,9.109677419,4.709677419,4.219354839,1,3.303225806,0.35483871,4.722580645,0.167741935,0.051612903,0.44516129,38.49677419,89,3.97,1.397,9.2,1,3.3,4.8,1.43,7.135483871,36,4.71,0.701,9,7.380645161,79.98064516,38.19354839,26.6516129,10.53548387,1.006451613,0.838709677,0.974,-38,-4,109,109,13,0.536,0.458,0.1,0.455
Baltimore Orioles,1972,32,28.7,154,36.85714286,32.64935065,3.37,7.487012987,1.253246753,0.188311688,0.649350649,3.136363636,0.506493506,0.266233766,3.292207792,6.071428571,0.229,0.302,0.339,0.641,89,11.06493506,0.733766234,0.233766234,0.422077922,0.25974026,0.37012987,6.766233766,11,28.8,2.79,2.53,0.597402597,0.402597403,20,18,0.136363636,8.903896104,7.246753247,2.792207792,2.506493506,0.551948052,2.564935065,0.337662338,5.116883117,0.097402597,0.012987013,0.227272727,35.66883117,121,2.95,1.102,7.3,0.6,2.6,5.2,1.99,6.155844156,32,2.79,0.74,9,7.155844156,80.16233766,38.09090909,26.70779221,10.73376623,0.649350649,0.974025974,0.983,78,8,103,100,17,0.448,0.448,0,0.519
Boston Red Sox,1972,38,28.9,155,37.88387097,33.6,4.13,8.316129032,1.477419355,0.219354839,0.8,3.832258065,0.425806452,0.193548387,3.367741935,5.535483871,0.248,0.318,0.376,0.694,101,12.63225806,0.716129032,0.238709677,0.361290323,0.309677419,0.316129032,7.135483871,17,28.9,4,3.47,0.690322581,0.309677419,20,18,0.161290323,8.917419355,8.44516129,4,3.438709677,0.651612903,3.303225806,0.316129032,5.922580645,0.251612903,0.012903226,0.206451613,37.90322581,93,3.22,1.317,8.5,0.7,3.3,6,1.79,7.141935484,37,4,0.699,9,7.580645161,80.28387097,37.96774194,26.74193548,10.38709677,0.838709677,0.909677419,0.978,-43,-4,106,105,19,0.579,0.445,0,0.548
California Angels,1972,40,29.1,155,36.38709677,33.32258065,2.93,8.058064516,1.103225806,0.167741935,0.503225806,2.709677419,0.367741935,0.238709677,2.309677419,5.483870968,0.242,0.293,0.33,0.623,91,11.00645161,0.806451613,0.161290323,0.425806452,0.161290323,0.335483871,6.735483871,16,27.5,3.44,3.06,0.632258065,0.367741935,18,17,0.103225806,8.88516129,7.15483871,3.438709677,3.025806452,0.580645161,4,0.341935484,6.451612903,0.180645161,0.019354839,0.316129032,37.07741935,96,3.21,1.255,7.2,0.6,4.1,6.5,1.61,6.987096774,38,3.44,0.727,9,7.24516129,79.99354839,37.76129032,26.65806452,10.36774194,0.735483871,0.870967742,0.981,8,1,94,95,12,0.567,0.361,0,0.484
Chicago Cubs,1972,41,30,156,38.1474359,33.63461538,4.39,8.628205128,1.320512821,0.256410256,0.852564103,4.064102564,0.442307692,0.301282051,3.621794872,5.224358974,0.257,0.33,0.387,0.717,96,13.01923077,0.807692308,0.179487179,0.429487179,0.275641026,0.5,7.044871795,15,28.7,3.63,3.22,0.653846154,0.346153846,19,18,0.205128205,8.962820513,8.519230769,3.634615385,3.205128205,0.717948718,2.698717949,0.358974359,5.282051282,0.217948718,0.025641026,0.205128205,37.48717949,118,3.24,1.251,8.6,0.7,2.7,5.3,1.96,6.955128205,39,3.63,0.707,9,7.41025641,80.69230769,39.8525641,26.8974359,12.10897436,0.846153846,0.948717949,0.979,-25,-2,110,109,16,0.449,0.551,-0.1,0.548
Chicago White Sox,1972,40,26.6,154,37.14935065,33.00649351,3.68,7.844155844,1.103896104,0.181818182,0.701298701,3.428571429,0.649350649,0.337662338,3.318181818,6.435064935,0.238,0.31,0.346,0.656,93,11.41558442,0.733766234,0.220779221,0.441558442,0.162337662,0.448051948,6.733766234,17,26,3.49,3.12,0.766233766,0.233766234,14,11,0.272727273,8.994155844,8.24025974,3.493506494,3.116883117,0.61038961,2.798701299,0.188311688,6.077922078,0.175324675,0.012987013,0.305194805,37.29220779,102,2.92,1.227,8.2,0.6,2.8,6.1,2.17,6.811688312,40,3.49,0.704,9,6.62987013,80.96103896,38.74675325,26.92207792,10.94805195,0.876623377,0.883116883,0.977,-65,-6,103,103,11,0.655,0.500,0,0.565
Cincinnati Reds,1972,31,27.2,154,39,34.03246753,4.59,8.551948052,1.38961039,0.285714286,0.805194805,4.220779221,0.909090909,0.409090909,3.935064935,5.935064935,0.251,0.33,0.38,0.71,107,12.92857143,0.707792208,0.24025974,0.422077922,0.350649351,0.551948052,7.227272727,13,25.5,3.62,3.21,0.837662338,0.162337662,15,9,0.38961039,9.17012987,8.525974026,3.616883117,3.272727273,0.837662338,2.824675325,0.402597403,5.233766234,0.12987013,0.006493506,0.272727273,38.06493506,101,3.41,1.237,8.4,0.8,2.8,5.1,1.85,6.928571429,31,3.62,0.719,9,6.980519481,82.55844156,39.06493506,27.51948052,10.83116883,0.714285714,0.928571429,0.982,53,5,94,93,16,0.591,0.565,-0.1,0.617
Cleveland Indians,1972,36,25.4,156,36.98717949,33.37820513,3.03,7.820512821,1.192307692,0.115384615,0.583333333,2.820512821,0.314102564,0.33974359,2.692307692,4.884615385,0.234,0.293,0.329,0.622,82,10.99358974,0.717948718,0.166666667,0.532051282,0.211538462,0.397435897,6.794871795,16,26.6,3.33,2.92,0.698717949,0.301282051,13,11,0.16025641,9.038461538,7.897435897,3.326923077,2.929487179,0.788461538,3.423076923,0.58974359,5.423076923,0.256410256,0.025641026,0.275641026,37.67307692,109,3.55,1.252,7.9,0.8,3.4,5.4,1.58,7.237179487,36,3.33,0.727,9,7.147435897,81.34615385,38.96794872,27.09615385,11.12820513,0.743589744,1.006410256,0.981,48,5,104,105,9,0.532,0.327,0,0.462
Detroit Tigers,1972,44,30.7,156,36.67307692,32.68589744,3.58,7.730769231,1.147435897,0.205128205,0.782051282,3.403846154,0.108974359,0.134615385,3.096153846,5.083333333,0.237,0.305,0.356,0.661,94,11.63461538,0.801282051,0.198717949,0.474358974,0.217948718,0.416666667,6.570512821,20,27.8,3.29,2.96,0.705128205,0.294871795,11,11,0.211538462,8.898076923,7.769230769,3.294871795,2.929487179,0.647435897,2.980769231,0.262820513,6.102564103,0.301282051,0,0.262820513,36.84615385,108,3.08,1.208,7.9,0.7,3,6.2,2.05,6.852564103,43,3.29,0.719,9,6.801282051,80.10897436,37.65384615,26.67307692,10.36538462,0.615384615,0.878205128,0.984,8,1,103,103,14,0.529,0.462,0,0.551
Houston Astros,1972,32,27.3,153,38.79738562,34.4248366,4.63,8.882352941,1.522875817,0.248366013,0.875816993,4.31372549,0.725490196,0.366013072,3.424836601,5.928104575,0.258,0.326,0.393,0.719,106,13.52941176,0.640522876,0.209150327,0.405228758,0.333333333,0.450980392,7.163398693,14,26.3,4.16,3.77,0.751633987,0.248366013,14,13,0.202614379,9.052941176,8.758169935,4.156862745,3.790849673,0.745098039,3.254901961,0.215686275,6.346405229,0.248366013,0.026143791,0.379084967,38.49673203,89,3.23,1.327,8.7,0.7,3.2,6.3,1.95,7.176470588,32,4.16,0.695,9,7.679738562,81.49019608,38.84313725,27.16339869,10.92156863,0.758169935,0.986928105,0.98,-66,-6,98,97,11,0.556,0.536,0,0.549
